"balise","direction","station","track","type","train_direction"
11041,2,Kera,1,ARRIVAL,2
11812,1,Kera,1,DEPARTURE,2
11815,2,Kera,1,DEPARTURE,2
11038,1,Kera,1,DEPARTURE,2
11740,2,Kera,2,ARRIVAL,1
11040,2,Kera,2,ARRIVAL,1
11817,1,Kera,2,ARRIVAL,1
11043,1,Kera,2,DEPARTURE,1
11043,2,Kera,2,ARRIVAL,2
11740,1,Kera,2,DEPARTURE,2
11040,1,Kera,2,DEPARTURE,2
11817,2,Kera,2,DEPARTURE,2
18832,2,Kerava asema,5,ARRIVAL,1
18520,2,Kerava asema,5,ARRIVAL,1
18032,1,Kerava asema,5,DEPARTURE,2
18520,1,Kerava asema,5,DEPARTURE,2
18834,2,Kerava asema,6,ARRIVAL,1
18522,2,Kerava asema,6,ARRIVAL,1
18522,1,Kerava asema,6,DEPARTURE,2
18834,1,Kerava asema,6,DEPARTURE,2
11034,2,Kilo,1,ARRIVAL,1
11811,1,Kilo,1,ARRIVAL,1
11737,1,Kilo,1,DEPARTURE,1
11810,2,Kilo,1,DEPARTURE,1
11037,1,Kilo,1,DEPARTURE,1
11737,2,Kilo,1,ARRIVAL,2
11810,1,Kilo,1,ARRIVAL,2
11037,2,Kilo,1,ARRIVAL,2
11034,1,Kilo,1,DEPARTURE,2
11811,2,Kilo,1,DEPARTURE,2
11036,2,Kilo,2,ARRIVAL,1
11836,2,Kilo,2,ARRIVAL,1
11813,1,Kilo,2,ARRIVAL,1
11039,1,Kilo,2,DEPARTURE,1
11563,1,Kilo,2,DEPARTURE,1
11039,2,Kilo,2,ARRIVAL,2
11563,2,Kilo,2,ARRIVAL,2
11036,1,Kilo,2,DEPARTURE,2
11836,1,Kilo,2,DEPARTURE,2
11813,2,Kilo,2,DEPARTURE,2
11112,2,Kirkkonummi,1,ARRIVAL,1
9344,2,Kirkkonummi,1,ARRIVAL,1
11576,2,Kirkkonummi,1,ARRIVAL,1
11117,1,Kirkkonummi,1,DEPARTURE,1
11880,2,Kirkkonummi,1,DEPARTURE,1
11717,1,Kirkkonummi,1,DEPARTURE,1
11117,2,Kirkkonummi,1,ARRIVAL,2
11880,1,Kirkkonummi,1,ARRIVAL,2
11717,2,Kirkkonummi,1,ARRIVAL,2
11112,1,Kirkkonummi,1,DEPARTURE,2
9344,1,Kirkkonummi,1,DEPARTURE,2
11114,2,Kirkkonummi,2,ARRIVAL,1
11119,1,Kirkkonummi,2,DEPARTURE,1
11882,2,Kirkkonummi,2,DEPARTURE,1
11119,2,Kirkkonummi,2,ARRIVAL,2
11882,1,Kirkkonummi,2,ARRIVAL,2
11114,1,Kirkkonummi,2,DEPARTURE,2
11116,2,Kirkkonummi,3,ARRIVAL,1
11116,1,Kirkkonummi,3,DEPARTURE,2
61710,2,Kivistö,1,ARRIVAL,1
61010,2,Kivistö,1,ARRIVAL,1
61810,2,Kivistö,1,ARRIVAL,1
61813,2,Kivistö,1,DEPARTURE,1
61525,1,Kivistö,1,DEPARTURE,1
61813,1,Kivistö,1,ARRIVAL,2
61525,2,Kivistö,1,ARRIVAL,2
61710,1,Kivistö,1,DEPARTURE,2
61010,1,Kivistö,1,DEPARTURE,2
61810,1,Kivistö,1,DEPARTURE,2
61812,2,Kivistö,2,ARRIVAL,1
61012,2,Kivistö,2,ARRIVAL,1
61715,1,Kivistö,2,DEPARTURE,1
61527,1,Kivistö,2,DEPARTURE,1
61815,1,Kivistö,2,DEPARTURE,1
61715,2,Kivistö,2,ARRIVAL,2
61527,2,Kivistö,2,ARRIVAL,2
61815,2,Kivistö,2,ARRIVAL,2
61812,1,Kivistö,2,DEPARTURE,2
61012,1,Kivistö,2,DEPARTURE,2
11818,2,Koivuhovi,1,ARRIVAL,1
11050,2,Koivuhovi,1,ARRIVAL,1
11053,1,Koivuhovi,1,ARRIVAL,1
11564,2,Koivuhovi,1,DEPARTURE,1
11054,2,Koivuhovi,1,DEPARTURE,1
11564,1,Koivuhovi,1,ARRIVAL,2
11054,1,Koivuhovi,1,ARRIVAL,2
11818,1,Koivuhovi,1,DEPARTURE,2
11050,1,Koivuhovi,1,DEPARTURE,2
11053,2,Koivuhovi,1,DEPARTURE,2
11752,2,Koivuhovi,2,ARRIVAL,1
11055,1,Koivuhovi,2,ARRIVAL,1
11566,2,Koivuhovi,2,DEPARTURE,1
11056,2,Koivuhovi,2,DEPARTURE,1
11566,1,Koivuhovi,2,ARRIVAL,2
11056,1,Koivuhovi,2,ARRIVAL,2
11752,1,Koivuhovi,2,DEPARTURE,2
11055,2,Koivuhovi,2,DEPARTURE,2
13520,2,Koivukylä,3,ARRIVAL,1
13786,2,Koivukylä,3,ARRIVAL,1
